Unnamed: 0,review_description,rating,company
118,سيئ جدآ تم خصم من البطاقه دينار ولم استلم شيئ,-1,talbat
119,تطبيق على كيفه يلغي الطلبات صاير فاشل,-1,talbat
121,الموظفين لايردو على استفسارات,-1,talbat
122,انا كنت بدفع بفيزا ميزه بنك الاهلي عادي بعد التحديث لا يمكن الدفع بكارت الميزه حاليا كان كل التعامل بكارت عادي مفيش مشكله,-1,talbat
123,خرا,-1,talbat
124,افضل برنامج توصل,1,talbat
125,اسعار غاليه ولا انصح به,-1,talbat
126,سيء جدا، لايتم الرد على الشكوى الابوقت متأخر جدا، كان البرنامج قبل أفضل الآن التفاعل عن الزبون والاهتمام إليه وشكواه لم تعد اولويه عند مشغلي البرنامج,-1,talbat
127,شكرا إلكم,1,talbat
128,برفكت,1,talbat
129,افشل ديليفري في عمان,-1,talbat
130,خائب لا يضم مطاعم مهمة وأسعار مرتفعة,-1,talbat
131,التطبيق جميل جدا وأحيانا يعطي كوبونات خصم,1,talbat
132,قال حسيتو تضايق من صعصغغغعععععععععغ في عدد غغغفغععه,0,talbat
133,لايوجد مصداقيه واسعار مبالغ فيها وتاخير وطلب غير نظيف والفلوس ياخذونها واذا صار مشكله لاترجع والدليل الغاء خدمة الاتصال الهاتفيه اذا عندك مشكله يردون عليك بالمحادثه وطريقت الوصول لها معقده واخر شي الموظف يقول اتصل علي المطعم ومايرد وانا اتصل علي المطعم يرد علي اخر شي يقول نرجع لك المبلغ كاش من تاريخ الي اليوم لم يتواصل معي احد واراسلهم علي الايميل يرسلون نفس الرساله متأسفين وسوف نحل المشكله وبالنهايه خذووو الفلوس والاكل غير نظيف والخدمه سيئه والدليل كل التعليقات تقول نفس هالكلام,-1,talbat
134,عطيت فلوس باقي يرجع ماعطاني سرقه,-1,talbat
135,جيد ولكن الطلب يتأخر عده مرات,0,talbat
136,نصبين وبستغلو الكباتن,-1,talbat
137,افضل شركة,1,talbat
138,اسوء ابلكيشن علي الإطلاق ولو البرنامج والقائمين عليه عندهم الجراءه يكلموني يكلموني بس مفيش نصاب بيرد علي الفريسه بعد ما ينصب عليها,-1,talbat
139,للأسف تطبيق فاشل وطلبت اول مره صار ساعه ونص كلشي ماكو,-1,talbat
140,ضحكو على الشوفريه,-1,talbat
141,سيئ ضحكو على الشوفريه يالسياره,-1,talbat
142,برنامج سئ للغايه طلبت اوردر توصيل مجاني اتفاجأت ان ضايف جنيه توصيل وطلبت طلبات من طلبات مارت جابلي الاوردر مختلف خالص ومش بيلغو الاوردر رغم انه الغلط من عندهم,-1,talbat
143,ج,-1,talbat
144,كيف يمكن استرداد القسائم المنتهية,1,talbat
145,للأسف تم تحميل البرنامج لأول مره وتم طلب اول مواد وتم إحضار المواد على الوقت ولكن للأسف غير الجوده العاديه وتم اطعامها للعصافير حيث قام احد المندوبين بالتواصل معي وعن وجود أي ملاحظات وقمت بأخباره عن سوء جودة المنتج وكان جوابه فقط الاعتذار لذلك لم يتم نجاح التطبيق في السعودية قبل عشر سنوات وفشل فشل ذريع عكس تطبيق جاهز خلال سنتين كان رقم واحد في السعودية من حيث التعامل وجودة المنتج والمصداقية وخدمة ما بعد البيع,-1,talbat
146,ننا,-1,talbat
147,برنامج فاشل جدددددا,-1,talbat
148,ضريب,0,talbat
149,سيئ,-1,talbat
150,كان بل اول جميل لاكن صرتو تحطو ضريبه وتغلو الاسعار اكثر وبطلتو تنزلو قسائم خصومات وفوق كل هاذ رح اقيمكو نجمه عشان الحركه الي عملتوها مع عمال التوصيل تاعت السيارات خليتوهم يصلحو ويعبو بنزين على حساب تعبهن وما اعطيتوهم السياره تطبيق سيئ زربه زباله,-1,talbat
151,البحث عن الوجبة في التطبيق اصبح اصعب، التطبيق حاليا يقترح مطاعم لا تحتوي على الوجبة المطلوبة اصلا,0,talbat
152,مافيه الا مطعم واحد والله تطبيق نكته,-1,talbat
153,سي جدا تم دن افضل,-1,talbat
154,خانة الخصومات غير موجودة اجدها احيانا وغالبا غائبا ويقولون ان عندي كوبونات لكن الخانة مختفية ارجو اصلاح هذه المشكلة,-1,talbat
155,تمام,1,talbat
156,مبلغ التوصيل معادل مبلغ الاوردر ازاي,-1,talbat
157,الاسعار مبالغ بها,-1,talbat
158,افضل تطبيق بالعالم دام الدون سوا اعلان,1,talbat
159,استغلال رفع الاسعار اكثر من بره,-1,talbat
160,افضل تطبيق,1,talbat
161,مخادعين ضحكو على الدرايفر بالسياره حسبي الله فيكم,-1,talbat
162,الأبلكيشن موصلني بدليفري أوردر تاني خالص ومتأخر عن المعاد ساعة ونص,-1,talbat
163,التوصيل جدا غالي الضريبه الاضافيه على المبلغ بالاضافه الى ان الاصناف اغلى من سعرها للاسف تجربه سيئه,-1,talbat
164,في البداية كان تطبيق رائعا حيث كان التوصيل مجاني و سريع ايضا لكن الآن أصبح بطيئا و التوصيل ليس مجاني و المندوبين الشباب يتحرشون بل فتياة البيت عند الاتصال نعم ارجو ان تراقبو المندوبين الذين ترسلونهم إلى بيوت العالم,-1,talbat
165,عدم احترام وقت توصيل الطلب وبعد الوقت المقدر لتوصيل الطعام دقيقه وبعد انتهاء الوقت تفاجئنا بتمديد الوقت الى ساعتين وعند التواصل معاهم عن طريق الدردشه ماأخذنا منهم غير الكلام الحلو الي لابقدم ولا بأخر المشكله هذا ثاني مره اتعرض لنفس المشكله معاهم ولا في حل للشكوى وعندما طلبت التواصل مع الاداره افادوا بأنهم سيتواصلون بعد دقيقه معاي الظاهر مشغولين من كثرة الشكاوي هههههه,-1,talbat
166,تطبيق مزعج بكثرة اعلاناته الغبية في كل مكان,-1,talbat
167,زباااله,-1,talbat
168,تطبيق روعه شكرا طلبات,1,talbat
169,سييييييييء,-1,talbat
170,صاير تطبيق فاشل,-1,talbat
171,تعرضت للكثير من النقص بالطلبات و اغلب الوقت يتم الغاء الطلبات لعدم تمكن التطبيق من الالتزام بالمصداقية مع العملاء,-1,talbat
172,اسوء تجربة مع هذا التطبيق، لعدم وجود مصداقية في الالتزام بالوقت، حيث يقوم التطبيق ببيان الوقت المحدد لتوصيل التطلب، وبعد اتمام عملية الطلب يتم مضاعفة وقت التوصيل ان عدم الالتزام بالوقت، وتضييع وقت المتعامل مع التطبيق لهو من اسوء الامور التي تجعل مستخدم التطبيق لا يثق بتاتا به,-1,talbat
173,لدى مطعم تجهيز فى المنزل اريد التواصل معكم,0,talbat
174,زفت,-1,talbat
175,افضل برنامج لتوصيل الطعام في العراق من كل النواحي,1,talbat
176,طلبات كريستيانو رونالدو كذب,-1,talbat
178,هين قرشك ولا تهين نفسك ياليت تلغو الخدمه تبع الاستلام لان التعامل سئ جدا مع المطاعم لما تجي تستلم طلبك يعاملك كانك خادم عند ابوه وعلى أيش على بيسه توفير افضلي اطلب مباشرة من المطعم,-1,talbat
179,مرتب,1,talbat
180,سيء جدا جدا لايوصل إلى جمي الأماكن في الدولة اتمنا حل المشكلة,-1,talbat
181,تطبيق سيىئ جدا تأخير بشكل كبير اسعار غاليه جدا بعملك التوصيل مجاني او بسعر رمزي وبكون رافع سعر الوجبات بشكل مش طبيعي,-1,talbat
182,تطبيق زبالة تم طلب وخصم المبلغ في الاخير تم الغاء الطلب من قبل المطعم بدون سبب واضح ولم يسترد المبلغ للان,-1,talbat
183,التطبيق والخدمة أصبحت سيئة جدا للأسف,-1,talbat
184,زفت يا نصابين,-1,talbat
185,غير مناسب,-1,talbat
186,برنامج ظالم ونصاب,1,talbat
187,التطبيق سي ولا يعمل,-1,talbat
188,غير متوفر في جميع المتاجر,-1,talbat
189,مع الشباب الاردني,-1,talbat
190,ممناز,1,talbat
191,تطبيق فاااااشل مادييين وغشاشين وواستغلالييين الطلب اصلا زايدين ع سعرو وبتاخدو رسوظ خدمه وضريبه مبيعات وتوصيل ول عليكم جوعانين انتو وهي رح اشطب التطبيق لاني بطلت استفيد منو,-1,talbat
192,من سيئ لاسوء طلبي بصير دنانير ليس رسوم خدمة ورسوم ضريبة ورسوم توصيل,-1,talbat
193,ليه غيرتو اللغه شايفنا اجانب,-1,talbat
194,ضضصضصصصشك,1,talbat
195,سيتم حذفه حتى اعطاء الشباب حقوقهم,-1,talbat
196,ممتاز جدا وبشكركم عل هتمام,1,talbat
197,تطبيق سيئ,-1,talbat
198,سيء جدا,-1,talbat
199,غير صادقين مع السائقين,-1,talbat
200,سيء شركة طلبات فرع الاردن نصابة,-1,talbat
201,تطبيق فاشل، يفتقر للأمانه,-1,talbat
202,تطبيق فاشل وسئ للغايه,-1,talbat
203,سيء جدا وما في مصداقيه,-1,talbat
204,شركة احتياليه,-1,talbat
205,صراحة طلبات شي رائع ومريح جدا وفي اي وقت تطلب اللي على بالك بالتوفيق يا رب وإن شاء الله تطور التطبيق اكثر ويصبح في كل المجالات,1,talbat
206,شرمة نصب وحتيال,-1,talbat
207,كل شوية يقفل لوحده,-1,talbat
208,كانت جيده اصبحت احتيال ونصب شهر كامل واكثر وانا اعاني من استخدام رصيد طلبات لاكن اي طلب اخر من طلبات لا حياه لمن تنادي اطالب جميع الاردنيين بشطب التطبيق واستعمال تطبيق اردني اخر انهم نصابين وحراميه وكذابين متميزون بلكذب والكلام العسول علينا نحن الاردنيين ان نشتعمل تطبيق اخر اردني الصنع ونشطب طلبات ونودعه اله بلده نصابين,-1,talbat
209,ممتازه,1,talbat
210,تطبيق سيئ ونصابين,-1,talbat
211,سيء,-1,talbat
212,تطبيق سيء كلنا معا لأفشال هذا التطبيق بسبب عدم احترامكم لحقوق الموظفين,-1,talbat
213,مقاطع,-1,talbat
214,هنجر ستيشن افضل من وجهة نظري,-1,talbat
215,تاني مرة يحصل غلط في الاوردر ومش لاقية رقم للتواصل,0,talbat
216,تجربة سيئة جدا لا انصح به بشده لايحترم الزبائن ولا الموظفين,-1,talbat
217,اسوء ططبيق,-1,talbat
218,بخزي طلبات,-1,talbat
219,خايس,-1,talbat
220,سيارات الموظفين,-1,talbat
221,شركة سيئة بعد ما وعدت سائقيها بتملك السيارة بعد ثلاث سنوات ولم تفي بوعدها ونفت ذلك شركة استغلاليه و يتم خصم ثمن الطلب اكثر من المطلوب,-1,talbat
222,تضامنا مع السائقين اللي نصبو عليهم الشركة الهاملة,-1,talbat
223,حرام عليكم تضحكو على الشباب وتستغلو قدراتهم ومجهودهم وبالاخر تقولو الهم مالكو اشي لاكن عند الله مابروح حق,-1,talbat
224,طلبات وصلولي طلب بالغلط وطلب قديم كانه معموله من ايام ولما اتصلت على خدمة العملاء قلت لهم هذا ليس طلبي قالوا مانقدر نسويلك شي تواصل على لايف شات ولايف شات متوقف يحطون العميل بمتاهات وتروح عليه فلوسه وهذا اللي حصل معي جاري حذف التطبيق,-1,talbat
225,سيئ جدا,-1,talbat
226,لا استطيع تحميل التطبيق أحاول أن أحمل التطبيق من أيام لكن من دون اي جدوى,1,talbat
227,برنامج ممتاز ومفيد,1,talbat
228,شركة نصابة لا تستحق الاحترام,-1,talbat
229,سئ جدا ولا يتم محاسبة الكباتن بشكل عادل,-1,talbat
230,مع السائق,-1,talbat
231,سيء جدا لانكم نصابين رجعو حقوق الموظفين مقاطعة تطبيق طلبات,-1,talbat
232,لم تلتزم الشركة بإعطاء العمال السيارة بعد سنوات كما وعدتهم سابقا,-1,talbat
233,سيئ جدا لانو بعد فترة قامو بحظري,-1,talbat
234,تطبيق فاشل وبكل مقاييس المهنه,-1,talbat
235,زباله,-1,talbat
236,تطبيق سيئ جدا واسعار وعروض مخادعه,-1,talbat
237,سيئ جدا والكباتن مظلومة مع هيك تطبيق,-1,talbat
238,تطبيق فاشل وغير ملتزم في قوانين وزارة التجاره من حيث تسعيرة التوصيل وتلاعب في الاسعار بالاتفاق مع المطاعم واذا اخطئو بالطلب يضيع حقك وفلوسك وعدم اهتمام بالزبائن والموضفين القائمين علي الدعم والمساعده بالتطبيق يسعون الا افشال التطبيق بحجج واهيه وغير مقنعه وتظيع المبالغ وعدم المساعدة في ارجاعها او مطالبة المطعم في اكمال الناقص من الطعام انصح بعدم تحميل التطبيق ولي ضمان وصول طلبك كامل وساخن اطلب من المطعم مباشره,-1,talbat
239,قال شو بعمللك عروض خصم وهو ماخذهن منك مدوبلات خصم شو هذا الوجبه السوبر ثمنها دينارين ونص وعندكم ثلاث ودينار توصيل اربعه و وين الخصم في الموضوع تسمع بالمثل اللي بحكي مطرح ما شنقوه,-1,talbat
240,اسوء تطبيق سسسسييييييييءءءؤؤؤؤ,-1,talbat
241,للأسف الأسعار أغلى من المطعم بكثير,-1,talbat
242,طتبيق سيء قد ارسلي منتجي مسكوبا,-1,talbat
243,نصب واحتيال,-1,talbat
244,طبنصي,1,talbat
245,كله كذب بكذب,-1,talbat
247,غير مناسب اسعار اغلى عن المعروض,-1,talbat
248,كتير حلو التطبيق ، بس ما في قسام كل تلات سنين تعطوني وحده ؟,1,talbat
249,سيئ وكان في اغراض ناقصه ما قدرنا نتواصل معهم,-1,talbat
250,لا انصح بتحميل البرنامج,-1,talbat
251,غير صريح مع الزبون,-1,talbat
252,فخميين,1,talbat
253,حتى نجمة ما بستاهل بضحكو على بالتوصيل المجاني وبزيدو الضرائب وغير هيك بسحبو من الفيزا بدون ما يتأكد الطلب,-1,talbat
254,للاسف الربح المادي يبدو أنه المتحكم الوحيد بالشركات ومن باب أولى كسب الموظفين,-1,talbat
255,تطبيق زبااااالة ونصابين,-1,talbat
256,شركة نصابة,-1,talbat
257,مقاطعة طلبات حتى ترجع للشباب حقوقهم,-1,talbat
258,استغلال الموظفين نصب لا يسكت عنو,-1,talbat
259,أعطوا حق الناس,-1,talbat
260,بطول ليبين انه اخذ الطلب,-1,talbat
261,سيئين جدا,-1,talbat
262,سيء للغاية,-1,talbat
263,خدمه سيئه,-1,talbat
264,سيء بدنا سياره,-1,talbat
265,مقاطعة طلبات,-1,talbat
266,سي جدا لا انصح بتحميله,-1,talbat
267,مع السائقين,-1,talbat
268,رجعو للناس حقوقهم,-1,talbat
269,يجب ان تكونوا صادقين مع العاملين لديكم,-1,talbat
270,لا يستحق حتى نصف نجمة,-1,talbat
271,سوء معامله وعدم احترام وتطبيق لا يعمل بالشكل الجيد وأسعار عاليه وعدم دقه في المواعيد وخدمة عملاء سيئه جدا وعدم استجابه وعدم حل المشاكل,-1,talbat
272,أنا زبون عندكم تقريبا من اول ما فتحتم لاكن تضحكو على شباب التوصيل ما رح نكون شركاء معكم لهيك نجمه ولو في اقل حطينا ما رح نرجع نستخدم تطبيقكم,-1,talbat
273,طلبات الاردن يأكلون حقوق ابناء الاردن المكافحين الذين وقفو معهم يدا بيد بالأيام المرة قبل الحلوة شركة نصب واستخفاف بعقول الشباب الشغيلين عندهم,-1,talbat
274,ضروري تخربوا سمعتكم وتنصبوا على العمال؟,-1,talbat
275,تطبيق زفت وشركه كاذبه,-1,talbat
276,هه,-1,talbat
277,جدا سيء,-1,talbat
278,غير منصفه واسعار غير حقيقيه,-1,talbat
279,نصبه ع الموظفين الي بيشتغله معهم قاطعوهم,-1,talbat
280,حسبي الله ونعم الوكيل,-1,talbat
281,تطبيق سيء لا انصح باستخدامه,-1,talbat
282,نصابين,-1,talbat
283,سئ جدا,-1,talbat
284,سيء جدا نصب وكذب ودجل,-1,talbat
285,تطبيق جدآ ممتاز,1,talbat
286,لماذا تم استغلال الموظفين لديكم وعدم الايفاء في وعدكم اتجاهم,-1,talbat
287,الموقع أحيانآ مايعمل,-1,talbat
289,شىكة نصب واحتيال شركة طلبات في الأردن وعدت الموظفين اذا اشتغلوا معهم سنين رح تكون سيارات التوصيل الهم وقبل ما تخلص ال سنين بأشهر طردوهم بحجة الأداء السيء علما بأنه راتب الموظفين كان دينار وكان بنزين السيارة وتصليحها عالموظف لازم نقاطع الشركة لحد ما يرجعوا للموظفين حقوقهم مقاطعة طلبات,-1,talbat
290,لعيون صاحبي الي ناويين تاكلوا حقه بعد سنة و شهور,-1,talbat
291,اعطوا الشباب حقوقهم,-1,talbat
292,انصفوا عمالكم ولا تظلموا أحد,-1,talbat
293,تطبيق فاشل قام ب استغلال الشباب من قبل الإدارة السيئة,-1,talbat
